input_prompt,true_ans,closest_ans,exact solution found
Bi[[005005000][005555000][555000000][050000000][050005555][055555000][550005555][000005000][555555000][000005000]]to[[005775888][005555888][555888888][058888888][058885555][055555000][550005555][000005000][555555000][000005000]]i[[050000050050][050005550550][555005055500][005555050550][000500050050]]to[[758888850050][758885550550][555885055500][005555050550][000500050050]]EtttttTi[[050050000500][050055500500][055550500500][005000555500][555000500555][000000500000][000555500000][555500500000][000500555000][000500005000]]o,[[057750000500][057755500500][055550500500][005000555500][555000588555][000000588888][000555588888][555500588888][000500555888][000500005888]]F,[[058856666500][058856566600][058856566500][005886565500][555000588655][000000588656][000000588666][000005585666][555555000000][000500585850]]F,
Bi[[88][88]]to[[008008008008008][008008008008008][888888888888888][008008008008008][008008008008008][888888888888888][008008008008008][008008008008008][888888888888888][008008008008008][008008008008008][888888888888888][008008008008008][008008008008008][888888888888888]]i[[44444][44444][44444][44444][44444]]to[[000004000004000][000004000004000][000004000004000][000004000004000][000004000004000][444444444444444][000004000004000][000004000004000][000004000004000][000004000004000][000004000004000][444444444444444][000004000004000][000004000004000][000004000004000]]EtttttTi[[2222][2222][2222][2222]]o,[[000020000200002][000020000200002][000020000200002][000020000200002][222222222222222][000020000200002][000020000200002][000020000200002][000020000200002][222222222222222][000020000200002][000020000200002][000020000200002][000020000200002][222222222222222]]F,[[222222222222222][02222222222222222][222222222222222][22222222222222222][222222222222222][222222222222222][222222222222222][222222222222222][000220002002222][000200200022000][020020000200200][2000200020020][0020020002002][002000200020020][020002000202000]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[003][030][300]]to[[110][101][011]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[555][050][050]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[500][550][500]]to[[044][004][044]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[444][403][400]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[800][080][000]]to[[022][202][222]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[505][050][050]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[500][550][500]]to[[044][004][044]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[800][808][088]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[800][080][000]]to[[022][202][222]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[003][033][033]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[003][030][300]]to[[110][101][011]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[800][800][800]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[003][030][300]]to[[110][101][011]]EtttTi[[555][005][000]]o,[[000][440][444]]F,[[555][005][005]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[555][005][000]]to[[000][440][444]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[030][030][300]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[800][080][000]]to[[022][202][222]]EtttTi[[555][005][000]]o,[[000][440][444]]F,[[505][050][050]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[555][005][000]]to[[000][440][444]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[555][000][000]]F,
Bi[[555][005][000]]to[[000][440][444]]i[[800][080][000]]to[[022][202][222]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[303][304][444]]F,
Bi[[555][005][000]]to[[000][440][444]]i[[003][030][300]]to[[110][101][011]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[303][800][080]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[003][030][300]]to[[110][101][011]]EtttTi[[080][080][800]]o,[[202][202][022]]F,[[222][020][000]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[080][080][800]]to[[202][202][022]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[222][000][222]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[800][080][000]]to[[022][202][222]]EtttTi[[080][080][800]]o,[[202][202][022]]F,[[080][888][080]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[080][080][800]]to[[202][202][022]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[800][808][088]]F,
Bi[[080][080][800]]to[[202][202][022]]i[[800][080][000]]to[[022][202][222]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[444][404][404]]F,
Bi[[080][080][800]]to[[202][202][022]]i[[003][030][300]]to[[110][101][011]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[220][000][200]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[003][030][300]]to[[110][101][011]]EtttTi[[808][080][080]]o,[[020][202][202]]F,[[808][808][808]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[808][080][080]]to[[020][202][202]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[330][330][300]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[800][080][000]]to[[022][202][222]]EtttTi[[808][080][080]]o,[[020][202][202]]F,[[080][888][080]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[808][080][080]]to[[020][202][202]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[088][088][008]]F,
Bi[[808][080][080]]to[[020][202][202]]i[[800][080][000]]to[[022][202][222]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[033][303][303]]F,
Bi[[808][080][080]]to[[020][202][202]]i[[003][030][300]]to[[110][101][011]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[000][200][220]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[003][030][300]]to[[110][101][011]]EtttTi[[300][333][003]]o,[[011][000][110]]F,[[333][303][303]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[300][333][003]]to[[011][000][110]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[400][440][400]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[800][080][000]]to[[022][202][222]]EtttTi[[300][333][003]]o,[[011][000][110]]F,[[303][303][303]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[300][333][003]]to[[011][000][110]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[088][088][008]]F,
Bi[[300][333][003]]to[[011][000][110]]i[[800][080][000]]to[[022][202][222]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[003][030][030]]F,
Bi[[300][333][003]]to[[011][000][110]]i[[003][030][300]]to[[110][101][011]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[088][008][008]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[003][030][300]]to[[110][101][011]]EtttTi[[050][550][005]]o,[[404][004][440]]F,[[225][050][050]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[050][550][005]]to[[404][004][440]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[400][404][004]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[800][080][000]]to[[022][202][222]]EtttTi[[050][550][005]]o,[[404][004][440]]F,[[050][505][050]]F,
Bi[[003][030][300]]to[[110][101][011]]i[[050][550][005]]to[[404][004][440]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[080][808][088]]F,
Bi[[050][550][005]]to[[404][004][440]]i[[800][080][000]]to[[022][202][222]]EtttTi[[003][030][300]]o,[[110][101][011]]F,[[404][404][404]]F,
Bi[[050][550][005]]to[[404][004][440]]i[[003][030][300]]to[[110][101][011]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[800][808][088]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[500][550][500]]to[[044][004][044]]EtttTi[[555][005][000]]o,[[000][440][444]]F,[[444][444][444]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[555][005][000]]to[[000][440][444]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[005][050][500]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[800][080][000]]to[[022][202][222]]EtttTi[[555][005][000]]o,[[000][440][444]]F,[[555][000][005]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[555][005][000]]to[[000][440][444]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[080][080][080]]F,
Bi[[555][005][000]]to[[000][440][444]]i[[800][080][000]]to[[022][202][222]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[222][020][200]]F,
Bi[[555][005][000]]to[[000][440][444]]i[[500][550][500]]to[[044][004][044]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[333][800][000]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[500][550][500]]to[[044][004][044]]EtttTi[[080][080][800]]o,[[202][202][022]]F,[[088][080][088]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[080][080][800]]to[[202][202][022]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[555][050][050]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[800][080][000]]to[[022][202][222]]EtttTi[[080][080][800]]o,[[202][202][022]]F,[[002][002][082]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[080][080][800]]to[[202][202][022]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[002][002][002]]F,
Bi[[080][080][800]]to[[202][202][022]]i[[800][080][000]]to[[022][202][222]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[555][005][050]]F,
Bi[[080][080][800]]to[[202][202][022]]i[[500][550][500]]to[[044][004][044]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[200][200][200]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[500][550][500]]to[[044][004][044]]EtttTi[[808][080][080]]o,[[020][202][202]]F,[[002][020][222]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[808][080][080]]to[[020][202][202]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[505][050][050]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[800][080][000]]to[[022][202][222]]EtttTi[[808][080][080]]o,[[020][202][202]]F,[[002][002][002]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[808][080][080]]to[[020][202][202]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[000][080][080]]F,
Bi[[808][080][080]]to[[020][202][202]]i[[800][080][000]]to[[022][202][222]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[505][050][050]]F,
Bi[[808][080][080]]to[[020][202][202]]i[[500][550][500]]to[[044][004][044]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[000][555][000]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[500][550][500]]to[[044][004][044]]EtttTi[[300][333][003]]o,[[011][000][110]]F,[[500][050][005]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[300][333][003]]to[[011][000][110]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[505][050][050]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[800][080][000]]to[[022][202][222]]EtttTi[[300][333][003]]o,[[011][000][110]]F,[[333][303][333]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[300][333][003]]to[[011][000][110]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[008][080][008]]F,
Bi[[300][333][003]]to[[011][000][110]]i[[800][080][000]]to[[022][202][222]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[505][050][050]]F,
Bi[[300][333][003]]to[[011][000][110]]i[[500][550][500]]to[[044][004][044]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[555][000][005]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[500][550][500]]to[[044][004][044]]EtttTi[[050][550][005]]o,[[404][004][440]]F,[[005][050][050]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[050][550][005]]to[[404][004][440]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[222][020][020]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[800][080][000]]to[[022][202][222]]EtttTi[[050][550][005]]o,[[404][004][440]]F,[[444][404][404]]F,
Bi[[500][550][500]]to[[044][004][044]]i[[050][550][005]]to[[404][004][440]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[400][404][404]]F,
Bi[[050][550][005]]to[[404][004][440]]i[[800][080][000]]to[[022][202][222]]EtttTi[[500][550][500]]o,[[044][004][044]]F,[[220][020][000]]F,
Bi[[050][550][005]]to[[404][004][440]]i[[500][550][500]]to[[044][004][044]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[300][303][404]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[555][005][000]]to[[000][440][444]]EtttTi[[080][080][800]]o,[[202][202][022]]F,[[080][808][088]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[080][080][800]]to[[202][202][022]]EtttTi[[555][005][000]]o,[[000][440][444]]F,[[555][000][050]]F,
Bi[[555][005][000]]to[[000][440][444]]i[[800][080][000]]to[[022][202][222]]EtttTi[[080][080][800]]o,[[202][202][022]]F,[[002][002][002]]F,
Bi[[555][005][000]]to[[000][440][444]]i[[080][080][800]]to[[202][202][022]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[008][080][080]]F,
Bi[[080][080][800]]to[[202][202][022]]i[[800][080][000]]to[[022][202][222]]EtttTi[[555][005][000]]o,[[000][440][444]]F,[[555][005][005]]F,
Bi[[080][080][800]]to[[202][202][022]]i[[555][005][000]]to[[000][440][444]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[080][888][080]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[555][005][000]]to[[000][440][444]]EtttTi[[808][080][080]]o,[[020][202][202]]F,[[555][000][005]]F,
Bi[[800][080][000]]to[[022][202][222]]i[[808][080][080]]to[[020][202][202]]EtttTi[[555][005][000]]o,[[000][440][444]]F,[[555][005][005]]F,
Bi[[555][005][000]]to[[000][440][444]]i[[800][080][000]]to[[022][202][222]]EtttTi[[808][080][080]]o,[[020][202][202]]F,[[002][002][002]]F,
Bi[[555][005][000]]to[[000][440][444]]i[[808][080][080]]to[[020][202][202]]EtttTi[[800][080][000]]o,[[022][202][222]]F,[[002][002][002]]F,
Bi[[808][080][080]]to[[020][202][202]]i[[800][080][000]]to[[022][202][222]]EtttTi[[555][005][000]]o,[[000][440][444]]F,[[555][005][005]]F,
